property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating,coordinates,latitude,longitude
house,independent,sector 26,12.5,38580.0,5,5,3+,2.0,North,3240.0,1,1,1,1,0,Old Property,Furnished,44,5.0,"28.4757° N, 77.1032° E",28.4757, 77.1032
house,independent,sector 45,16.0,35003.0,6,7,3+,3.0,East,4571.0,1,1,1,1,0,Relatively New,Furnished,58,4.5,"28.4466° N, 77.0660° E",28.4466, 77.0660
house,independent,sector 45,10.0,30864.0,6,6,3+,4.0,North-East,3240.0,1,1,1,1,0,Moderately Old,Furnished,34,4.5,"28.4466° N, 77.0660° E",28.4466, 77.0660
house,independent,sector 23,2.8,17983.0,5,5,3+,2.0,North-East,1722.2399999999998,0,0,0,1,0,Old Property,Furnished,42,5.0,"28.5121° N, 77.0478° E",28.5121, 77.0478
house,independent,sector 26,6.75,27778.0,3,3,3,2.0,North-East,2430.0,0,0,0,0,0,Moderately Old,Unfurnished,15,5.0,"28.4757° N, 77.1032° E",28.4757, 77.1032
house,independent,sector 2,2.5,16057.0,4,4,2,4.0,West,1557.0,0,0,0,0,0,Old Property,Unfurnished,15,4.75,"28.5095° N, 77.0320° E",28.5095, 77.0320
house,independent,sector 14,8.0,17707.0,12,4,3+,3.0,North,4518.0,0,1,1,0,0,Old Property,Unfurnished,21,3.5,"28.4711° N, 77.0454° E",28.4711, 77.0454
house,dlf new town heights,sector 86,2.47,7719.0,4,4,3+,2.0,West,2800.0,0,1,0,1,0,Moderately Old,Furnished,78,4.75,"28.3986° N, 76.9384° E",28.3986, 76.9384
house,ansal sushant residency,sector 57,4.6,17037.0,6,6,3,3.0,East,2700.0,1,1,1,1,0,Old Property,Semi-Furnished,62,4.0,"28.4232° N, 77.0752° E",28.4232, 77.0752
house,ansals florence villa,sector 57,3.65,10580.0,6,6,2,3.0,North-West,3450.0,1,1,1,1,0,Moderately Old,Semi-Furnished,88,4.0,"28.4232° N, 77.0752° E",28.4232, 77.0752
house,independent,sector 28,12.0,42194.0,4,5,3+,4.0,East,2844.0,0,1,1,1,0,Relatively New,Furnished,33,4.75,"28.4728° N, 77.0865° E",28.4728, 77.0865
house,independent,sector 49,4.5,15625.0,8,8,3,3.0,North-East,2880.0,1,1,1,1,0,Moderately Old,Semi-Furnished,88,5.0,"28.4121° N, 77.0480° E",28.4121, 77.0480
house,uppal southend,sector 49,4.4,15278.0,6,6,3,3.0,North,2880.0,1,1,1,1,0,Moderately Old,Semi-Furnished,70,5.0,"28.4121° N, 77.0480° E",28.4121, 77.0480
