property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating
flat,bptp freedom park life,sector 57,2.5,11111.0,Super Built up area 2250(209.03 sq.m.),3,3,3,9.0,East,2036.0,0,0,0,0,0,Moderately Old,Unfurnished,45,4.8
flat,godrej habitat,sector 3,1.1,10407.0,Super Built up area 1056.58(98.16 sq.m.),2,2,2,14.0,North-East,956.0,0,0,0,0,0,Relatively New,Unfurnished,28,4.38
flat,ramsons kshitij,sector 95,0.29,5179.0,Super Built up area 560(52.03 sq.m.),2,2,2,14.0,East,507.0,0,0,0,0,0,Relatively New,Unfurnished,40,4.1
flat,sidhartha ncr one,sector 95,0.55,5556.0,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,15.0,North-East,990.0,0,0,0,0,0,New Property,Unfurnished,0,4.25
flat,raheja sampada,sector 92,0.65,4745.0,Super Built up area 1370(127.28 sq.m.),3,2,3,6.0,North-East,1240.0,0,0,0,0,0,Relatively New,Unfurnished,23,4.0
flat,signature the serenas,sohna road,0.5,9398.0,Carpet area: 531.57 (49.38 sq.m.),2,2,2,6.0,East,591.0,0,0,0,0,0,New Property,Unfurnished,16,4.25
flat,pareena laxmi apartments,sector 99,0.3175,5522.0,Super Built up area 575(53.42 sq.m.)Carpet area: 570.17 sq.ft. (52.97 sq.m.),2,2,1,2.0,East,577.0,0,0,0,0,0,New Property,Unfurnished,29,3.8
flat,satya the hermitage,sector 103,0.93,6405.0,Carpet area: 1452 (134.9 sq.m.),2,3,3,3.0,East,1613.0,0,1,0,0,0,Relatively New,Furnished,57,4.0
flat,smart world gems,sector 89,1.2,8433.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,2.0,North-East,1581.0,0,0,0,0,0,New Property,Unfurnished,22,4.0
flat,gls arawali homes,sohna road,0.3,4688.0,Carpet area: 640 (59.46 sq.m.),2,2,2,4.0,East,711.0,0,0,0,0,0,Relatively New,Unfurnished,32,4.2
flat,signature global park,sohna road,0.56,6813.0,Carpet area: 822 (76.37 sq.m.),2,2,3,3.0,South,913.0,0,0,0,0,0,New Property,Unfurnished,66,4.8
flat,bestech park view city,sector 49,2.7,12506.0,Super Built up area 2159(200.58 sq.m.),3,4,3+,6.0,North-East,1954.0,0,0,0,0,0,Moderately Old,Unfurnished,0,4.2
flat,shree vardhman flora,sector 90,1.0,5128.0,Super Built up area 1950(181.16 sq.m.),3,4,3,8.0,North-East,1765.0,0,1,0,0,0,New Property,Unfurnished,59,4.8
flat,afnhb jalvayu vihar,sector 30,1.45,11154.0,Built Up area: 1300 (120.77 sq.m.)Carpet area: 1090 sq.ft. (101.26 sq.m.),3,2,2,2.0,North,1300.0,0,0,0,0,0,Old Property,Semi-Furnished,41,4.2
flat,m3m soulitude,sector 89,1.25,8784.0,Built Up area: 1423 (132.2 sq.m.)Carpet area: 1190 sq.ft. (110.55 sq.m.),3,3,0,4.0,East,1423.0,0,0,0,0,0,New Property,Unfurnished,33,4.0
flat,emaar mgf palm terraces,sector 66,4.5,10598.0,Super Built up area 3670(340.95 sq.m.),5,5,3+,11.0,North-East,3321.0,0,1,0,0,0,New Property,Unfurnished,66,3.75
