property_type,sector,price,bedRoom,bathroom,balcony,facing,built_up_area,servant room,age_category,furnishing_type,combined_rating,luxury_category,floor_category
flat,sector 33,1.75,3,3,0,East,1996.0,0,New Property,Unfurnished,4.1,Low,Low Floor
flat,sector 68,0.93,2,2,2,East,1200.0,0,New Property,Unfurnished,4.0,Low,High Floor
flat,sector 90,1.8,4,4,3+,West,2468.0,0,Moderately Old,Unfurnished,4.4,Low,High Floor
flat,sector 33,2.1,3,3,2,East,1619.0,0,Under Construction,Unfurnished,4.1,Low,Mid Floor
flat,sector 22,2.0,2,2,2,East,1533.0,0,Relatively New,Unfurnished,4.5,Low,Mid Floor
flat,sector 63,2.0,3,3,2,North,1540.0,0,Relatively New,Unfurnished,4.25,Low,Low Floor
flat,sector 88a,1.29,3,3,3,North-West,1642.0,0,New Property,Unfurnished,4.7,Low,Mid Floor
flat,sector 65,2.85,3,3,3,South,1654.0,0,Relatively New,Furnished,4.25,Medium,High Floor
flat,sector 79,1.1,3,3,3,North,2167.0,0,Relatively New,Furnished,3.75,Medium,Low Floor
flat,sector 61,1.65,2,2,2,East,1333.0,0,Relatively New,Unfurnished,4.2,Low,Low Floor
flat,sohna road,0.24,1,1,2,North,360.0,0,New Property,Unfurnished,3.6,Low,Low Floor
flat,sector 77,2.1,3,4,3+,North-East,1600.0,1,New Property,Furnished,4.25,Medium,High Floor
flat,sector 33,1.9,3,3,3+,East,2143.0,1,New Property,Unfurnished,4.1,Medium,High Floor
flat,sector 79,1.1,2,2,3,East,81.0,0,New Property,Unfurnished,4.4,Low,Mid Floor
flat,sector 95,0.315,2,2,1,East,563.0,0,Relatively New,Semi-Furnished,4.1,Low,Mid Floor
flat,sector 109,1.7,1,1,2,North-East,965.0,0,Relatively New,Unfurnished,4.25,Low,Mid Floor
flat,sector 99,0.32,2,2,2,East,473.0,0,New Property,Unfurnished,3.8,Low,Low Floor
flat,sector 86,0.45,2,2,1,East,646.0,0,Relatively New,Unfurnished,4.75,Low,Mid Floor
flat,sector 78,1.2,1,2,2,East,823.0,0,Under Construction,Unfurnished,4.25,Low,High Floor
flat,sector 65,2.1,2,2,2,East,1186.0,0,New Property,Unfurnished,4.25,Medium,High Floor
flat,sector 4,0.42,2,2,1,East,833.0,0,Relatively New,Furnished,4.25,Low,Mid Floor
