property_type,sector,price_per_sqft,bedRoom,bathroom,balcony,servant room,age_category,furnishing_type,combined_rating,dist_cyber_city_km,luxury_category,floor_category,price
0.0,14.0,3167.0,2,1,1.0,0,3.0,2.0,4,7.02583253588824,1.0,1.0,0.285
0.0,39.0,9839.0,2,2,2.0,0,3.0,2.0,4,11.022736662002515,1.0,2.0,1.1
0.0,67.0,13957.0,2,2,2.0,0,3.0,2.0,4,10.356984533706918,1.0,3.0,2.0
0.0,100.0,8036.0,3,2,2.0,0,3.0,2.0,4,10.315343042261606,0.0,1.0,0.9
0.0,100.0,8036.0,3,2,0.0,0,3.0,2.0,4,10.315343042261606,1.0,1.0,0.9
0.0,37.0,8768.0,3,3,0.0,0,1.0,2.0,4,8.807024823365314,1.0,1.0,1.75
0.0,70.0,8611.0,2,2,2.0,0,1.0,2.0,4,12.476058817032778,1.0,0.0,0.93
0.0,94.0,6601.0,4,4,4.0,0,0.0,2.0,4,17.784613471274927,1.0,0.0,1.8
0.0,37.0,11738.0,3,3,2.0,0,4.0,2.0,4,8.807024823365314,1.0,2.0,2.1
0.0,25.0,14493.0,2,2,2.0,0,3.0,2.0,4,2.6223407766988527,1.0,2.0,2.0
0.0,66.0,12804.0,3,3,2.0,0,3.0,2.0,4,10.921657047153026,1.0,1.0,2.0
0.0,91.0,7799.0,3,3,3.0,0,1.0,2.0,4,14.818928591501624,1.0,2.0,1.29
0.0,67.0,15591.0,3,3,3.0,0,3.0,0.0,4,10.356984533706918,2.0,3.0,2.85
0.0,81.0,5641.0,3,3,3.0,0,3.0,0.0,3,9.6830758001837,2.0,1.0,1.1
0.0,64.0,13750.0,2,2,2.0,0,3.0,2.0,4,9.325542058746992,1.0,1.0,1.65
0.0,100.0,7407.0,1,1,2.0,0,1.0,2.0,3,10.315343042261606,2.0,1.0,0.24
0.0,79.0,10500.0,3,4,4.0,1,1.0,0.0,4,16.16370147099269,2.0,0.0,2.1
0.0,37.0,9850.0,3,3,4.0,1,1.0,2.0,4,8.807024823365314,2.0,0.0,1.9
0.0,81.0,11482.0,2,2,3.0,0,1.0,2.0,4,9.6830758001837,1.0,2.0,1.1
0.0,98.0,4500.0,2,2,1.0,0,3.0,1.0,4,19.467363206073667,1.0,2.0,0.315
0.0,12.0,17617.0,1,1,2.0,0,3.0,2.0,4,8.234325662834179,1.0,2.0,1.7
0.0,99.0,6107.0,2,2,2.0,0,1.0,2.0,3,12.749467120010372,1.0,1.0,0.32
0.0,89.0,7745.0,2,2,1.0,0,3.0,2.0,4,17.99082227512503,2.0,2.0,0.45
0.0,80.0,10017.0,1,2,2.0,0,4.0,2.0,4,17.849176868198043,1.0,3.0,1.2
0.0,67.0,16031.0,2,2,2.0,0,1.0,2.0,4,10.356984533706918,2.0,3.0,2.1
0.0,42.0,5600.0,2,2,1.0,0,3.0,0.0,4,7.966272839288784,1.0,2.0,0.42
0.0,37.0,9955.0,3,2,4.0,0,1.0,2.0,4,8.807024823365314,1.0,2.0,1.55
0.0,0.0,9028.0,3,3,2.0,0,3.0,2.0,4,8.28225319142505,1.0,2.0,1.3
0.0,17.0,10589.0,4,4,4.0,1,1.0,1.0,4,7.296451285525138,1.0,0.0,2.75
0.0,6.0,6443.0,3,3,4.0,0,1.0,2.0,4,9.988958745407531,2.0,1.0,1.25
0.0,66.0,7407.0,3,2,2.0,0,3.0,2.0,4,10.921657047153026,1.0,1.0,0.42
0.0,100.0,6421.0,2,2,1.0,0,1.0,2.0,5,10.315343042261606,1.0,2.0,0.4
0.0,100.0,5405.0,2,2,1.0,0,1.0,2.0,4,10.315343042261606,1.0,1.0,0.34
0.0,92.0,8784.0,3,3,3.0,0,1.0,2.0,4,16.34701940513016,1.0,2.0,1.25
0.0,79.0,12744.0,3,3,3.0,0,3.0,0.0,4,16.16370147099269,2.0,2.0,1.5
0.0,0.0,9286.0,3,3,2.0,0,3.0,2.0,4,8.28225319142505,1.0,2.0,1.3
0.0,99.0,8000.0,3,3,3.0,0,3.0,2.0,3,12.749467120010372,1.0,2.0,1.6
0.0,17.0,11755.0,2,2,2.0,0,1.0,2.0,4,7.296451285525138,2.0,0.0,1.5
0.0,17.0,11755.0,2,2,2.0,0,1.0,2.0,4,7.296451285525138,2.0,0.0,1.5
0.0,7.0,7149.0,2,2,0.0,0,3.0,2.0,4,9.444756665310383,1.0,0.0,0.9
0.0,54.0,9146.0,4,4,3.0,0,2.0,2.0,4,6.491042593237041,2.0,2.0,1.5
0.0,69.0,13115.0,1,1,0.0,0,3.0,2.0,4,12.360901540268934,1.0,1.0,0.8
0.0,89.0,7396.0,3,2,1.0,0,1.0,2.0,4,17.99082227512503,2.0,0.0,1.25
0.0,100.0,5394.0,2,2,1.0,0,3.0,2.0,4,10.315343042261606,1.0,1.0,0.26
0.0,100.0,7910.0,2,2,1.0,0,1.0,2.0,4,10.315343042261606,1.0,0.0,0.42
0.0,45.0,12920.0,3,3,2.0,0,1.0,2.0,4,4.4235297248137915,1.0,1.0,2.5
0.0,80.0,4615.0,3,3,2.0,1,0.0,2.0,4,17.849176868198043,1.0,1.0,0.9
0.0,96.0,7107.0,2,2,1.0,0,3.0,0.0,4,19.438662025225774,1.0,2.0,0.42
0.0,10.0,7692.0,2,2,1.0,0,3.0,2.0,4,11.184849992510118,1.0,0.0,0.5
0.0,81.0,5882.0,2,2,3.0,0,3.0,2.0,3,9.6830758001837,1.0,2.0,0.9
0.0,92.0,6806.0,3,3,4.0,1,1.0,2.0,4,16.34701940513016,1.0,1.0,1.3
0.0,37.0,9503.0,3,3,3.0,0,4.0,2.0,4,8.807024823365314,1.0,0.0,1.7
0.0,96.0,6200.0,4,3,0.0,0,3.0,2.0,4,19.438662025225774,1.0,0.0,1.25
0.0,85.0,6700.0,4,4,3.0,1,4.0,0.0,5,16.990726505283792,2.0,2.0,2.91
0.0,18.0,5750.0,3,4,2.0,1,2.0,0.0,3,21.802033071237695,1.0,1.0,1.15
